"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","ERROR","2020-01-12T10:15:30.302-03:00[America/Buenos_Aires]","0.0","0.72"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2020-01-12T10:15:31.173-03:00[America/Buenos_Aires]","0.0","0.2"
